feature,importance
mel_mean,0.04561902817919469
rms_std,0.03612909500315352
mfcc_mean_11,0.023178836070945053
rms_mean,0.0196259690846565
mfcc_std_0,0.017846996290113125
delta_mfcc_std_0,0.01635025319085685
mfcc_mean_37,0.01496894362628109
delta2_mfcc_std_3,0.013146920644033893
spec_contrast_band6_mean,0.013100312091780846
mfcc_mean_21,0.01231417164237975
mfcc_mean_27,0.012082065201102554
mfcc_mean_15,0.010972107507775457
mfcc_mean_14,0.010968036667875167
mel_std,0.01045722931155187
duration_sec,0.010346768668481655
mfcc_mean_0,0.010081496000674357
mfcc_mean_13,0.009997667677927504
silence_ratio,0.009887638364003117
mfcc_mean_36,0.009873876977014731
mfcc_mean_4,0.00979397159263835
mfcc_mean_18,0.009784907531054658
mfcc_std_14,0.00937730845484506
delta_mfcc_std_14,0.0087914724544974
mfcc_mean_19,0.008573997388099193
mfcc_std_34,0.008466834935842407
mfcc_mean_22,0.007557011239851375
zcr_mean,0.007431782902006248
mfcc_std_6,0.0071504255338426855
mfcc_mean_17,0.007009867660485337
mfcc_std_13,0.00696070245207382
mfcc_mean_38,0.006898957442278522
f0_mean,0.006782139382483305
delta_mfcc_std_3,0.0066655739653056255
delta_mfcc_std_39,0.006542440557460681
mfcc_mean_26,0.006440417019590849
mfcc_mean_24,0.006373337734725949
delta2_mfcc_std_1,0.006340890731193759
mfcc_std_12,0.006256443067053573
mfcc_mean_25,0.006138428749252896
mfcc_mean_5,0.006052818767690755
mfcc_std_16,0.005897749312032985
mfcc_std_38,0.00586598673992652
spec_bandwidth_mean,0.005842083368430238
spec_rolloff_mean,0.005817586021301487
delta_mfcc_std_6,0.005756634124327548
mfcc_mean_29,0.005740482335450719
spec_centroid_mean,0.00571509344475217
spec_contrast_band4_mean,0.00565717928537358
mfcc_mean_8,0.005623955438616271
mfcc_mean_33,0.005391281668196939
mfcc_mean_23,0.005196079075091186
mfcc_mean_32,0.0050757205926172866
mfcc_std_15,0.00493525539065623
mfcc_mean_7,0.0047605963405819495
delta_mfcc_std_34,0.004753395401518266
mfcc_std_32,0.004745285834308039
delta_mfcc_std_35,0.004725083830408115
mfcc_mean_16,0.004632726969987094
mfcc_std_19,0.004580479052791072
mfcc_mean_20,0.004572959138808363
mfcc_std_17,0.00450085414471397
mfcc_std_39,0.004396976293320287
